f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,=digit_value
374.04,-713.27,-238.47,708.14,1019.4,-146.17,414.17,-447.54,652.23,185.61,9_value
370.04,269.77,-861.45,1007.2,1224.4,-504.11,385.11,-314.78,606.7,4.9013,8_value
-29.259,-60.897,-515.66,858.66,768.05,-213.67,627.95,-69.222,602.41,-330.34,9_value
107.13,-184.47,-605.83,518.09,912.13,-257.06,271.94,-184.33,342.17,-283.77,9_value
537.59,657.63,-1017.4,904.92,1101.4,-664.24,378.92,-225.04,586.29,36.578,8_value
144.78,-168.27,-642.19,891.42,831.17,-556.36,650.55,245.33,528.31,-441.42,9_value
584.67,350.62,-464.96,1106.1,1417,-235.45,450.8,-201.79,350.52,527.82,8_value
77.453,14.596,-342.27,967.16,868.05,-149.75,696.05,-227.94,383.63,-229.05,9_value
496.07,-850.9,-215.3,957.54,1078.6,-108.94,441.98,-190.09,529.12,13.924,9_value
527.94,88.157,147.73,700.33,1093.5,-325.92,370.85,-410.58,543.86,557.82,8_value
487.12,68.314,489.97,595.31,632.54,320.6,563.4,-29.21,215.11,151.31,9_value
579.42,-801.24,-28.809,728.96,875.51,-286.97,567.83,-36.564,122.71,-221.31,9_value
590.06,-145.84,-627.02,1290.7,1391.5,-684.27,387.89,-434.81,330.06,117.11,8_value
206.89,-579.63,-523.97,845.97,1003.5,-216.61,452.21,-85.688,516.64,-407,9_value
1270.9,430.54,201.56,242.15,916.97,-46.571,544,27.592,123.6,-403.5,9_value
577.07,389.86,-292.1,1074,1207.3,-348.03,187.82,-1.0783,86.036,310.7,8_value
601.38,-901.58,-785.8,872.65,1121.1,-369.33,600.04,-278.11,538.3,-261.5,9_value
553.24,166.86,-586.72,1064.3,1294.8,-464.77,582.36,-631.95,-7.7235,-90.047,8_value
619.96,160.32,-626.73,1169.1,1380.4,-497.78,432.11,-474.29,66.046,220.01,8_value
821.46,-578.91,281.51,316.08,1239.5,-116.09,67.061,-39.425,832.63,254.85,9_value
696.55,-1014.2,-92.316,677.05,1280.7,237.2,225.59,83.733,679.08,364.27,9_value
547.07,577.89,-419.57,1059.3,1229.3,41.234,417.89,-175.91,334.27,593.26,8_value
10.809,-333.64,-223.75,989.15,835.61,96.121,772.94,196.43,499.35,-167.75,9_value
200.88,539.64,-730.76,958.2,1343.3,-690.26,862.68,-331.81,465.57,-39.993,8_value
419.11,315.24,341.89,256.98,945.9,-304.74,237.78,-113.16,227.06,17.892,8_value
809.25,661.39,-705.25,470.39,1271,-475.67,480.67,-348.67,-310.73,-88.119,8_value
65.703,-210.62,-364.75,727.3,873.97,-110.74,495.35,-341.39,470.16,-367.55,9_value
692.58,-691.53,337.79,583.95,695.82,-58.84,413.99,388.28,263.43,212.32,9_value
446.28,-86.89,136.3,605.03,1082,107.13,610.01,-103.25,209.68,75.729,8_value
467.4,-704.45,324.89,603.8,1292,-41.477,391.8,-236.77,278.71,338.35,9_value
636.99,-754.01,-628.37,1040.1,922.94,38.467,416.6,26.784,484.87,-406.39,9_value
554.46,-843.03,201.96,592.36,1070.5,11.763,250.32,-34.031,556.04,457.63,9_value
738.59,-889.29,-4.741,831.91,699.07,-43.192,400.46,448.73,394.84,-27.172,9_value
226.72,-398.43,218.09,816.77,900.21,362.93,470.9,4.897,692.55,408.89,9_value
442.88,-935.78,-260.32,939.41,1093.8,-218.93,661.79,-232.82,450.27,-82.227,9_value
916.34,-178.93,-12.647,370.39,1525.9,-497.72,162.33,-242.77,120.32,16.283,8_value
406.62,-258,-587.94,1207.6,923.08,-174.24,582.39,-3.6046,262.41,-397.92,9_value
322.08,528.84,-713.22,791.38,1042.7,-413.79,415.15,-360.25,265.02,-21.722,8_value
503.98,333.26,-816.45,1031.4,1133.5,-118.28,234.26,-26.309,494.58,302.36,8_value
1050.3,455.52,-730.39,1251,1149.5,-71.783,210.47,-130.69,-6.0765,266.18,8_value
362.45,-654.31,424.09,560.63,1039.5,-59.633,428.76,-10.983,728.09,547.3,9_value
272.21,-515,-280.37,973.89,1196.9,-162.05,700.94,-441.74,124.1,-130.26,9_value
26.429,169.1,-49.14,538.24,1055.6,-61.259,649.26,-150.69,393.52,419.17,8_value
816.15,526.89,-635.79,1164.5,1396.9,-316.3,361.83,-324.46,59.127,145.51,8_value
307.59,-445.36,-191.74,869.09,1032.8,-27.341,612.3,-444.29,22.882,-220.69,9_value
582.64,-391.16,328.14,-198.71,1072.9,-261.22,250.5,137.42,483.08,6.4583,9_value
935.31,168.98,-705.33,1306.4,1477,-399.43,589.44,-376.17,-9.4491,351.53,8_value
280.1,-500.02,129.65,916.79,1020.7,-79.917,674.97,-245.66,249.07,97.846,9_value
236.85,-622.8,-288.03,774.45,950.93,171.44,445.68,37.389,434.4,-231.45,9_value
524.12,-434.72,303.25,97.913,461.75,18.69,162.41,30.357,748.28,166.93,9_value
243.99,-372.36,-128.54,830.12,1021.7,61.228,769.6,-496.66,154.85,-93.629,9_value
487.93,560.88,-727.36,736.82,1109.6,-290.48,257.19,-188.9,-67.012,15.064,8_value
131.81,374.67,-317.09,986.47,963.81,-112.55,498.32,-117.85,733.06,467.61,8_value
283.49,-387.23,293.19,533.29,535.81,182.57,492.78,118.84,325.16,454.21,9_value
855.8,-5.0978,168.04,426.18,1490.2,-26.039,950.24,-351.11,99.233,53.283,8_value
202.8,-316.19,-309.04,857.67,1111.1,-195.35,659.79,-656.43,433.73,-219.66,9_value
336.42,-377.3,-753.18,1031.6,1131.4,-180.26,427.03,-242.52,352.14,-510.76,9_value
843.48,-516.47,298.68,15.536,1027,-384.15,18.69,70.377,282.44,359.96,9_value
1192.5,381.51,188.85,801.69,1517.5,-282.67,-87.019,-326,188.65,114.46,8_value
861.25,-667.45,270.14,-18.109,1450.7,-315.03,434.33,148.42,181.29,339.33,9_value
484.53,532.72,-942.22,694.01,1079.8,-331.61,407.11,-214.73,93.416,108.75,8_value
