x1, x2, x3, x4, x5, x6, f1, f2
2.57, 3.20, 1.82, 0.01, 4.61, 7.67, -33.43, 100.25
3.79, 2.01, 4.98, 0.07, 1.97, 5.15, -325.48, 73.64
2.87, 1.26, 1.71, 0.44, 4.42, 7.56, -37.51, 89.59
1.69, 0.83, 2.36, 3.19, 2.73, 7.27, -7.94, 79.53
3.12, 0.86, 2.94, 3.38, 2.75, 4.02, -37.34, 54.29
1.05, 1.01, 3.51, 0.33, 4.12, 4.22, -118.39, 49.33
1.72, 0.30, 3.32, 0.34, 4.50, 8.34, -89.21, 103.86
4.36, 1.06, 2.75, 0.75, 1.97, 5.52, -173.48, 62.64
0.98, 1.71, 2.38, 0.64, 3.63, 6.89, -54.48, 70.62
0.30, 1.87, 2.30, 0.73, 4.85, 5.07, -105.35, 58.60
0.55, 2.20, 3.87, 0.64, 3.78, 9.04, -153.13, 116.56
3.64, 1.59, 2.21, 1.56, 4.06, 4.14, -85.14, 56.69
3.37, 1.60, 3.46, 0.16, 4.42, 3.57, -147.54, 58.10
1.71, 3.51, 4.20, 0.05, 2.65, 7.37, -167.07, 94.23
2.88, 2.67, 3.94, 0.47, 2.28, 9.55, -129.52, 127.52
2.66, 1.11, 2.88, 0.66, 2.55, 4.81, -53.24, 46.61
3.32, 2.68, 2.48, 1.68, 4.36, 5.68, -66.89, 78.43
0.87, 1.45, 2.49, 1.29, 2.75, 5.54, -51.44, 49.01
1.94, 1.88, 4.34, 1.10, 3.71, 6.46, -101.22, 82.90
2.04, 1.07, 2.84, 0.20, 2.19, 6.63, -50.89, 62.11
2.21, 3.58, 3.95, 0.01, 3.99, 7.28, -151.14, 102.24
1.41, 2.40, 3.15, 2.51, 1.96, 6.01, -20.20, 63.88
1.06, 3.01, 2.69, 2.86, 4.38, 1.54, -38.29, 47.13
1.49, 3.36, 4.02, 0.20, 4.60, 9.26, -152.99, 136.59
1.48, 2.99, 4.36, 1.04, 3.57, 9.06, -113.03, 126.05
3.63, 2.16, 3.48, 3.33, 2.26, 8.31, -70.79, 115.19
4.31, 1.69, 1.77, 1.80, 4.36, 6.93, -147.36, 94.79
3.39, 1.25, 3.24, 0.83, 4.04, 3.23, -108.29, 50.89
3.40, 2.13, 2.05, 2.33, 4.00, 7.57, -61.29, 99.04
0.90, 2.58, 2.81, 3.87, 4.74, 4.17, -44.43, 70.19
1.04, 2.88, 3.00, 2.33, 4.18, 6.23, -44.99, 80.02
1.36, 1.33, 2.98, 2.65, 3.07, 8.96, -22.10, 109.31
1.95, 2.93, 3.35, 1.82, 1.81, 8.94, -27.86, 110.12
2.83, 1.49, 4.30, 0.71, 1.81, 5.96, -136.13, 68.00
1.34, 1.87, 4.26, 2.05, 3.92, 4.69, -59.61, 65.06
1.71, 0.57, 2.74, 0.10, 2.19, 5.75, -51.48, 48.62
3.11, 1.48, 2.57, 1.56, 4.09, 3.99, -55.11, 53.57
2.22, 0.97, 4.54, 0.61, 2.55, 8.28, -148.74, 101.84
2.30, 2.59, 1.44, 1.18, 4.48, 0.97, -16.16, 36.43
1.98, 3.37, 4.17, 1.97, 3.18, 7.68, -48.14, 105.67
2.98, 2.78, 1.52, 0.74, 1.93, 7.58, -28.40, 80.64
2.63, 2.06, 3.72, 1.10, 4.60, 1.82, -84.94, 50.66
3.17, 1.41, 2.40, 2.95, 3.98, 5.41, -45.56, 71.62
2.07, 1.19, 3.72, 2.22, 2.55, 6.34, -26.48, 71.11
4.32, 1.44, 2.68, 0.85, 2.73, 4.57, -166.03, 56.99
2.10, 0.14, 2.77, 0.80, 3.36, 6.64, -41.30, 68.10
4.51, 0.85, 2.32, 1.54, 4.76, 7.44, -183.03, 106.76
2.19, 0.21, 3.96, 2.34, 4.60, 0.20, -41.25, 47.21
4.46, 1.42, 4.54, 0.10, 4.72, 6.78, -357.07, 110.82
3.71, 2.00, 2.79, 2.32, 3.72, 8.53, -89.49, 117.59
2.00, 2.42, 2.63, 2.23, 3.24, 9.49, -13.55, 122.26
2.05, 0.99, 2.38, 2.14, 4.59, 7.46, -20.51, 92.18
3.07, 2.59, 1.28, 0.05, 3.85, 7.66, -38.27, 91.32
2.77, 0.91, 1.68, 1.27, 3.89, 8.00, -28.00, 92.11
3.36, 2.28, 3.96, 2.52, 1.60, 7.07, -65.57, 91.02
2.96, 0.78, 3.98, 2.57, 4.52, 1.07, -54.83, 53.38
2.02, 0.69, 1.64, 0.08, 4.34, 5.85, -19.18, 60.29
1.01, 0.99, 3.32, 0.08, 2.76, 9.47, -111.31, 110.31
2.72, 1.36, 1.82, 2.40, 4.38, 5.22, -26.41, 64.71
1.64, 3.54, 3.56, 0.30, 4.77, 2.83, -109.96, 58.82
