x, f1, f2
-49953.96, 2495397763.74, 2495597583.57
-46736.54, 2184304286.95, 2184491237.11
53178.19, 2827920395.59, 2827707686.81
19231.48, 369849912.67, 369772990.74
-33872.66, 1147357432.34, 1147492927.00
-71733.30, 5145666995.86, 5145953933.08
-63802.50, 4070758717.82, 4071013931.82
60468.08, 3656388636.60, 3656146768.28
-38458.85, 1479082999.25, 1479236838.65
-88688.21, 7865598824.37, 7865953581.21
74761.78, 5589323005.56, 5589023962.45
-89176.48, 7952444489.27, 7952801199.18
85239.07, 7265698605.75, 7265357653.48
82890.51, 6870836479.07, 6870504921.04
63488.61, 4030803525.28, 4030549574.84
51389.68, 2640899500.51, 2640693945.78
-11387.01, 129663988.81, 129709540.84
-85907.88, 7380164672.51, 7380508308.05
-99410.09, 9882365047.74, 9882762692.08
-9928.26, 98570357.31, 98610074.35
-67658.47, 4577668828.59, 4577939466.48
-10267.69, 105425433.30, 105466508.06
72940.83, 5320365021.30, 5320073261.97
-10624.06, 112870678.70, 112913178.94
93507.20, 8743596049.97, 8743222025.18
98379.44, 9678515189.71, 9678121675.93
79894.37, 6383110064.01, 6382790490.54
79260.39, 6282209784.88, 6281892747.31
-67194.74, 4515132416.05, 4515401198.99
-61376.88, 3767121129.20, 3767366640.72
-29299.03, 858433397.92, 858550598.06
-92158.17, 8493128219.45, 8493496856.13
-68479.35, 4689421351.47, 4689695272.87
-83905.05, 7040056707.21, 7040392331.39
-58212.72, 3388721096.98, 3388953951.87
-48262.80, 2329297588.59, 2329490643.78
-43727.22, 1912069757.98, 1912244670.86
-77140.88, 5950715375.94, 5951023943.46
-63672.76, 4054219909.47, 4054474604.50
-38421.61, 1476219819.25, 1476373509.68
-15420.35, 237787212.25, 237848897.65
-61071.81, 3729765390.68, 3730009681.90
10001.48, 100029632.06, 99989630.13
23735.88, 563392210.39, 563297270.85
-68138.11, 4642801903.82, 4643074460.26
-46607.70, 2172277588.78, 2172464023.57
8197.54, 67199727.91, 67166941.74
-72915.98, 5316740470.23, 5317032138.16
21073.37, 444086929.08, 444002639.60
70192.83, 4927034077.38, 4926753310.04
51421.95, 2644216864.76, 2644011180.96
-11988.97, 143735340.62, 143783300.49
-89950.47, 8091086939.43, 8091446745.31
-98727.19, 9747058869.30, 9747453782.08
-81932.57, 6712945336.82, 6713273071.08
-39621.17, 1569837478.68, 1569995967.37
-53211.75, 2831490625.87, 2831703476.89
16299.92, 265687480.77, 265622285.08
21635.67, 468102226.40, 468015687.72
-60146.41, 3617590800.62, 3617831390.27
18913.37, 357715653.67, 357640004.18
-98446.47, 9691707518.52, 9692101308.41
63108.57, 3982691033.93, 3982438603.67
33732.57, 1137886242.41, 1137751316.13
-12431.21, 154534954.91, 154584683.74
-96971.43, 9403459033.01, 9403846922.74
36416.03, 1326127505.39, 1325981845.26
93936.38, 8824042926.88, 8823667185.37
-60186.71, 3622440024.36, 3622680775.20
96415.24, 9295898696.80, 9295513039.84
-60606.08, 3673097527.23, 3673339955.57
-70607.14, 4985368615.96, 4985651048.53
19800.44, 392057553.46, 391978355.69
1813.28, 3288001.31, 3280752.17
63906.10, 4083989716.13, 4083734095.73
21569.74, 465253862.40, 465167587.42
68810.79, 4734924938.20, 4734649699.04
-59585.88, 3550476646.71, 3550714994.21
15407.98, 237405901.72, 237344273.79
-10259.82, 105263988.13, 105305031.43
-89826.28, 8068760172.27, 8069119481.38
94360.19, 8903845425.48, 8903467988.72
50784.42, 2579057470.92, 2578854337.24
37150.83, 1380184102.86, 1380035503.54
-18735.70, 351026287.18, 351101233.97
81943.35, 6714712631.70, 6714384862.30
29671.17, 880378034.18, 880259353.52
